127.0.0.1 - - [03/Jul/2018:07:12:35 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:12:37 +0900] "GET /CS_Project/start.jsp HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:12:37 +0900] "GET /CS_Project/image/tree.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:12:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:12:39 +0900] "POST /CS_Project/main.jsp HTTP/1.1" 200 6572
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:12:39 +0900] "GET /CS_Project/font/NANUMBARUNGOTHICLIGHT.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:12:39 +0900] "GET /CS_Project/font/NANUMBARUNGOTHIC.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:12:43 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7466
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:12:54 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 6357
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:13:26 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 6378
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:13:42 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 6378
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:13:48 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:13:55 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 6378
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:13:59 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:14:02 +0900] "GET /CS_Project/input.jsp HTTP/1.1" 200 6572
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:14:04 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7466
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:14:11 +0900] "GET /CS_Project/input.jsp HTTP/1.1" 200 6572
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:14:14 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:14:31 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7466
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:15:21 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:15:23 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:15:24 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:15:37 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7466
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:23 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7468
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:25 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7468
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:26 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7468
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:26 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7468
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:44 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7356
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:48 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7356
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:49 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7344
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:49 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7344
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:49 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7344
0:0:0:0:0:0:0:1 - - [03/Jul/2018:07:16:51 +0900] "GET /CS_Project/cs_page.jsp?p_num=20&bun_num=3 HTTP/1.1" 500 7344
